Ivory; Omar Apollo
The Weekend; SZA
Go Gina; SZA
Garden (Say It Like Dat); SZA
Broken Clocks; SZA
Anything; SZA
Wavy (Interlude) (feat. James Fauntleroy); SZA
Normal Girl; SZA
Pretty Little Birds (feat. Isaiah Rashad); SZA
20 Something; SZA
Love Galore (Alt Version); SZA
2AM; SZA
Miles; SZA
Percolator; SZA
Tread Carefully; SZA
Awkward; SZA
Jodie; SZA
Movies; Conan Gray
People Watching; Conan Gray
Disaster; Conan Gray
Best Friend; Conan Gray
Astronomy; Conan Gray
Yours; Conan Gray
Jigsaw; Conan Gray
Family Line; Conan Gray
Summer Child; Conan Gray
Footnote; Conan Gray
Memories; Conan Gray
The Exit; Conan Gray
Strangers By Nature; Adele
Easy On Me; Adele
My Little Love; Adele
Cry Your Heart Out; Adele
Oh My God; Adele
Can I Get It; Adele
I Drink Wine; Adele
All Night Parking (with Erroll Garner) Interlude; Adele
Woman Like Me; Adele
Hold On; Adele
To Be Loved; Adele
Love Is A Game; Adele
Music For a Sushi Restaurant; Harry Styles
Late Night Talking; Harry Styles
Grapejuice; Harry Styles
As It Was; Harry Styles
Daylight; Harry Styles
Little Freak; Harry Styles
Matilda; Harry Styles
Cinema; Harry Styles
Daydreaming; Harry Styles
Keep Driving; Harry Styles
Satellite; Harry Styles
Boyfriends; Harry Styles
Love Of My Life; Harry Styles
Nina Cried Power (feat. Mavis Staples); Hozier
Almost (Sweet Music); Hozier
Movement; Hozier
No Plan; Hozier
Nobody; Hozier
To Noise Making (Sing); Hozier
As It Was; Hozier
Shrike; Hozier
Talk; Hozier
Be; Hozier
Dinner & Diatribes; Hozier
Would That I; Hozier
Sunlight; Hozier
Wasteland, Baby!; Hozier
Motion Sickness; Phoebe Bridgers
Dealer; Lana Del Rey
Norman fucking Rockwell; Lana Del Rey
Mariners Apartment Complex; Lana Del Rey
Venice Bitch; Lana Del Rey
Fuck it I love you; Lana Del Rey
Doin' Time; Lana Del Rey
Love song; Lana Del Rey
Cinnamon Girl; Lana Del Rey
How to disappear; Lana Del Rey
California; Lana Del Rey
The Next Best American Record; Lana Del Rey
The greatest; Lana Del Rey
Bartender; Lana Del Rey
Happiness is a butterfly; Lana Del Rey
hope is a dangerous thing for a woman like me to have - but I have it; Lana Del Rey
Serotonin; girl in red
Did You Come?; girl in red
Body And Mind; girl in red
hornylovesickmess; girl in red
midnight love; girl in red
You Stupid Bitch; girl in red
Rue; girl in red
Apartment 402; girl in red
.; girl in red
I'll Call You Mine; girl in red
it would feel like this; girl in red
girls; girl in red
bad idea!; girl in red
we fell in love in october; girl in red
Rolling in the Deep; Adele
Rumour Has It; Adele
Turning Tables; Adele
Don't You Remember; Adele
Set Fire to the Rain; Adele
He Won't Go; Adele
Take It All; Adele
I'll Be Waiting; Adele
One And Only; Adele
Lovesong; Adele
Someone Like You; Adele
Comfort Crowd; Conan Gray
Wish You Were Sober; Conan Gray
Maniac; Conan Gray
(Online Love); Conan Gray
Checkmate; Conan Gray
The Cut That Always Bleeds; Conan Gray
Fight or Flight; Conan Gray
Affluenza; Conan Gray
(Can We Be Friends?); Conan Gray
Heather; Conan Gray
Little League; Conan Gray
The Story; Conan Gray
Way Out; FELIVAND
Stolen Seats; FELIVAND
Not My Way; FELIVAND
Safe Here; FELIVAND
Butterfly Wings; FELIVAND
Where Were You; FELIVAND
Big Little; FELIVAND
Ripple Effect; FELIVAND
Lately; FELIVAND
My Cool; FELIVAND
Ride Home; FELIVAND
Seasons; FELIVAND
Put Your Records On; Ritt Momney
I; Ritt Momney
Lew's Lullaby; Ritt Momney
Command V; Ritt Momney
On Love (An Alternative Response to Almitra's Request); Ritt Momney
Surely, You'd Burn the Same; Ritt Momney
Phoebe; Ritt Momney
II; Ritt Momney
Pollution / Disclaimer; Ritt Momney
Paper News; Ritt Momney
Something, in General; Ritt Momney
Wormwood; Ritt Momney
(If) the Book Doesn't Sell; Ritt Momney
III; Ritt Momney
Young Adult; Ritt Momney
Intro; Ritt Momney
Sunny Boy; Ritt Momney
Sometime; Ritt Momney
Not Around; Ritt Momney
Set The Table (feat. Claud); Ritt Momney
Show Runner 99; Ritt Momney
HEADSTART; Ritt Momney
autonanon; Ritt Momney
Escalator; Ritt Momney
Screwtape; Ritt Momney
Dress Song; Ritt Momney
